Index,IPA
193,o͡ɪ̯ ɟe ʃɐhɟɐneɾ bɐp ɟɔɾemon ʃɐhɟɐnek d̪ekhche ɛkhonɐ kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪchu kɪ
194,kɐm kɐɟeɾ d̪ɦɔɾon ʃɐɟɐneɾ kɪnt̪u ɐlce।
195,"ʃɐt̪ɪɾ mɐ͡o̯ ɟemon cɔle, ʃe͡ɪ̯d̪o kɪc d̪ɦɔɾon-d̪ɦon ʃɐt̪ɐɾ ɐlce।"
196,ɐɾɔ͡o̯ kuhɐ।
197,ɔt̪o nɪjɐe̯।
198,"kɔt̪ɐ thɪke, ɐgekɐɾ mɐ͡ɪ̯nʃe ɟe ko͡ɪ̯ce, thɪke, kɔt̪ɐ khɐɾɐp nɐ͡ɪ̯jɐe̯।"
199,"o͡ɪ̯ ɟe, e͡ɪ̯ d̪ɪnot̪o, ʃɐhɪn ɐɾ phɪɾuɟ, hum।"
200,"phɪɾuɟ ɛknɐ ɛkkeɾe gotɐle ujɐɾ bɐpeɾ mɔt̪oɾ d̪ɦɔt̪o d̪ɦɔɾon-gɦɐn, kɔt̪ɐ-bɐt̪ɐ-bɐt̪ɐ-phɪɾɐ, mɐ͡ɪ̯nʃeɾ ʃɐt̪e ɛ͡o̯ kɔɾɐ, o͡ɪ̯tɐ ɐce।"
201,ɐɾ ʃɐhɪntɐ ho͡ɪ̯ce d̪u͡ɪ̯jɐɾ muk mɔnd̪ɐ।
202,<> ʃɐhɪntɐ ho͡ɪ̯ce ujeɾ mɐɾ mɐnuʃo।
203,ɐɾ phɪɾuɟ ho͡ɪ̯ce ujeɾ bɐpeɾ mɔt̪ɔmɔɾo।
204,e͡ɪ̯llɐ kɐɾ gɦɐʃ ed̪ugulɐ?
205,omɐɾe gɦɐʃ t̪ulɪ nɪjɐ ɐ͡ɪ̯no।
206,"<> bole ɛktɐ, ɟe kono ɛktɐ ɪŋgɪt̪o <> ge͡ɪ̯che।"
207,"ɟe ɛde ɟe poɟɪt̪hom ɾomɟɐn, kemon <> d̪ekchen?"
208,pɐnd̪t̪hom ɾɔmɟɐn।
209,"e͡ɪ̯ ɟe, nɐjɐe̯, nechont̪o, nechon, pɾot̪t̪o ho͡ɪ̯che bɐ, bɐ, pɔɾeɾd̪ɪn ho͡ɪ̯che bɐt̪ ɛktɐ phetɐ nechont̪o।"
210,e͡ɪ̯ pot̪hom ɾomɟɐn ʃuɾpɔɾ।
211,"phonɐ, e͡ɪ̯ phetɐtɐ nechont̪o।"
212,mɐɟeɾ ɾomɟɐn ɐce nɐ?
213,e͡ɪ̯dɐ͡o̯ ho͡ɪ̯lo ʃumɾbɐɾ।
214,"e͡ɪ̯dɐ nɔbɪ ɾɐd̪ɦɐlɐʃʃɐl bole kɔ͡e̯t̪o͡o̯ ge͡ɪ̯che ɟe, poɟɦot̪t̪o ɾɔmɟɐn ʃuɾpɔɾ bɦɐ͡ɪ̯be।"
215,ʃo͡o̯lo t̪ɐɾɪk ɐce nɐ?
216,ʃo͡ɪ̯lo t̪ɐɾɪk͡o̯ ho͡ɪ̯lo ʃuɾbɐɾ।
217,"bɐ, bɐt̪ t̪o phɛtɐ ɐce।"
218,"ho, o͡ɪ̯ motɐ ɐce t̪o।"
219,e͡ɪ̯ ɟe ɛde d̪ubɦɪʃ d̪ekhɐ d̪ɪbe d̪eʃ।
220,ʃetɐ <> ɐhɔɾɔmmuhd̪ ʃɐɾd̪ɦɐmɾe bole kɔjɐ ge͡ɪ̯ce।
221,t̪ɐɾ ɐɾot̪o
222,ellɐ kemon ɐcɪʃ?
223,kɛmon ɐcɪʃ?
224,"ɐllɐhd̪d̪d̪d̪d̪d̪d̪d̪d̪d̪d̪d̪d̪d̪d̪d̪d̪d̪d̪d̪d̪d̪d̪d̪ɦɐ, bɦɐlo।"
225,"t̪oɾ ʃɐt̪e ɛnɐ gɔlɐ-gol koɾɪm, ʃɔmoʃʃɐ ho͡ɪ̯be?"
226,enot̪ɐ koɾɪm ɐɾ kɪ।
227,"gɔlɐ-gol koɾmo, ɐlɐp-ɐlst̪o koɾmo ɐɾ kɪ।"
228,ʃɔmoʃʃɐ ho͡ɪ̯be?
229,ʃɔmoʃʃɐ kɪ?
230,<> t̪o ʃɔmoʃʃɐ।
231,"t̪o edɐ nɐm, t̪oɾ nɐm kɪ?"
232,d̪eleɾ moɟɦɔl।
233,"o, t̪oɾ bɔjoʃ kɔt̪o cɔ͡ɪ̯lbɐɾ nɐge elɐ?"
234,ɛkʃo edɐɾo।
235,ɛkʃo edɐɾo bochoɾ cɔle?
236,"ellɐ ɪjɐ ɾoɟɐ ɐchɪʃ t̪o, nekɪ?"
237,"ho, oɟɐ।"
238,bɦɐt̪ kɪ d̪ɪ khɐchɪʃ?
239,"bɦɐt̪, mɐch।"
240,ɔh!
241,t̪ɐ khɐ͡o̯wɐ d̪ɐ͡o̯wɐ bɦɐloe̯ ho͡ɪ̯t̪eche?
242,kɪ mɐch d̪ɪje khɐlu?
243,kɪ mɐch?
244,ɪnɪʃ mɐch।
245,ɪnd̪ɪn mɐch d̪ɪje khɐchɪʃ?
246,konode pɐlu ɪnɪʃ mɐch?
247,kɐe̯ ɐnche?
248,<> ɔ͡o̯!
249,"t̪e ɪjɐ mɔjɐɟɐnɪ cɔɽche t̪o bɦɐloe̯, nɐkɪ?"
250,kono ɟɦut ɟɦɐmelɐ nɐ͡ɪ̯?
